Q0050,0.09233,-0.33381,30.80936,9.88751,63.0,129.0,103735.0,0.0,1.0797,0.0001
Q0080,0.20833,1.2375,53.60021,9.992,0.0,3.0,4470.0,0.0,0.76775,0.00172
Q0085,0.14672,1.0973,29.5749,7.85052,8.0,9.0,44015.0,0.0,1.51261,0.00027
Q0130,0.09211,1.44605,13.06579,7.93402,2.0,3.0,1615.0,0.0,0.20814,0.00102
Q0250,0.12351,0.35339,37.19291,4.44708,30.0,13.0,48860.0,0.0,1.71037,0.00016
Q0275,0.1487,0.69033,32.18818,6.54657,12.0,9.0,72100.0,0.0,2.37489,0.00022
R0020C,0.10724,-0.4622,40.03941,5.99152,54.0,47.0,54735.0,0.0,1.26612,0.00014
R0030W,0.09392,-0.16022,57.23873,5.90436,24.0,23.0,16680.0,0.0,0.78349,0.00028
YAL001C,0.07931,-0.51155,31.93959,9.37933,152.0,189.0,135525.0,0.0,1.02588,7e-05
YAL002W,0.09655,-0.09035,42.48871,5.57721,149.0,120.0,154750.0,0.0,1.06753,4e-05
YAL003W,0.07767,-0.4165,42.12621,4.29535,44.0,20.0,21095.0,0.0,0.9323,0.00019
YAL004W,0.07907,-0.01814,24.21209,5.23712,21.0,14.0,27750.0,0.0,1.16895,0.00022
YAL005C,0.06075,-0.43847,32.08911,4.99786,100.0,79.0,20775.0,0.0,0.29825,7e-05
YAL007C,0.10233,0.14791,33.46744,4.99969,25.0,20.0,24660.0,0.0,1.0248,0.00021
YAL009W,0.11969,-0.32085,51.829,10.02911,25.0,41.0,45170.0,0.0,1.50001,0.00033
YAL010C,0.11359,-0.47383,35.97548,6.83722,50.0,49.0,74425.0,0.0,1.32343,0.00012
YAL011W,0.0544,-1.10736,60.39984,9.18475,109.0,125.0,54235.0,0.0,0.74793,0.00013
YAL012W,0.06599,-0.14442,30.46345,6.05597,42.0,35.0,25900.0,0.0,0.60882,0.00014
YAL013W,0.06173,-0.99827,58.74123,4.59406,88.0,48.0,35590.0,0.0,0.7576,0.0001
YAL014C,0.03922,-0.50745,46.73843,4.6546,40.0,25.0,7700.0,0.0,0.26507,0.00016
YAL015C,0.06767,-0.34937,49.07293,8.09064,51.0,53.0,72015.0,0.0,1.5801,0.00018
