protein,degree,betweenness,closeness,eigenvector,clustering,OS,P_Ci,GO_Nb,essential,phys_1,phys_2,phys_3,phys_4,phys_5,phys_6,phys_7,phys_8,phys_9,phys_10,N_c,Sim_Loc,Ortho_Sim_Loc
Q0045,1,0.0,0.1760272734595609,4.138306275741053e-06,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YGL187C,4,0.0003213039506474227,0.2153107530712338,0.00012462530033093566,0.0,0.0,0.0,0.0,0,0.06452,-0.39742,35.74774,6.4129,19.0,18.0,18950.0,0.0,1.10545,0.00037,0.0,0.0,0.0
Q0085,1,0.0,0.15015102049920223,1.1019210255386665e-06,0.0,1.0,0.0,0.0,0,0.14672,1.0973,29.5749,7.85052,8.0,9.0,44015.0,0.0,1.51261,0.00027,0.0,0.0,0.5
YPL078C,3,0.000429137323943662,0.17782603828086763,3.648770311470142e-05,0.0,1.5607940446650124,0.0,0.0,0,0.05738,-0.12705,48.44467,9.15887,27.0,32.0,14565.0,0.0,0.54095,0.00034,0.0,0.0,0.5
Q0250,2,1.4232664014849951e-05,0.18668947023614993,8.050506089559784e-06,0.0,0.0,0.0,0.0,0,0.12351,0.35339,37.19291,4.44708,30.0,13.0,48860.0,0.0,1.71037,0.00016,0.0,0.0,0.0
YER154W,5,0.0042731179908230684,0.22469198673321106,0.0001899276366861458,0.0,2.0,0.0,0.0,0,0.08458,-0.1199,40.33607,10.13007,24.0,44.0,54555.0,0.0,1.21733,0.00023,0.0,0.0,0.5
Q0275,2,1.7197032354382704e-05,0.19013953193880542,1.02438799025522e-05,0.0,0.0,0.0,0.0,0,0.1487,0.69033,32.18818,6.54657,12.0,9.0,72100.0,0.0,2.37489,0.00022,0.0,0.0,0.0
YAL001C,4,4.909131342564935e-05,0.19883872621051543,2.918020544930162e-05,0.16666666666666666,1.0,0.5,4.5,1,0.07931,-0.51155,31.93959,9.37933,152.0,189.0,135525.0,0.0,1.02588,7e-05,0.05900181244167522,0.05277425862356333,0.5263871293117817
YDR362C,2,1.6087911703123373e-05,0.18846168064529067,1.620812655885514e-05,0.0,0.0,1.0,0.0,1,0.08631,-0.31592,38.02146,6.15497,87.0,80.0,68645.0,0.0,0.91885,8e-05,0.08971985818844534,0.08233295696528463,0.5
YER148W,14,0.001452584244224519,0.24305685655357123,0.0006585479064982717,0.15384615384615385,10.730612244897959,1.0,12.652614379084968,1,0.09167,-0.24708,36.18667,9.39252,29.0,37.0,14690.0,0.0,0.54402,0.00035,0.08971985818844534,0.08233295696528463,0.5038363587783368
